set_num;num_of_sales_in_2023
5289-1;13
7121-1;105
7111-1;142
7171-1;147
7104-1;111
4714-1;61
7201-1;203
4712-1;76
4481-1;56
4400-1;15
10132-1;26
4756-1;102
5369-1;13
4767-1;50
3598-1;13
7659-1;113
20001-1;32
8029-1;NaN
7796-1;NaN
7676-1;171
7670-2;NaN
8018-1;145
7805-1;62
8095-1;152
7930-1;219
21013-1;214
9678-1;181
9449-1;92
30102-1;150
75004-1;139
75016-1;117
40073-1;35
21018-1;216
75013-1;180
41049-1;72
41056-1;116
41030-1;88
30244-1;126
41059-1;47
21104-1;140
70752-1;75
5002919-1;45
41134-1;94
41118-1;87
41492-1;45
75875-1;132
30471-1;103
75152-1;200
70593-1;117
60114-1;66
21126-1;79
911724-1;47
75883-1;224
41318-1;103
75189-1;242
561706-1;33
41325-1;54
21312-1;324
41309-1;99
41300-1;71
75186-1;194
10709-1;90
70626-1;66
75880-1;193
21036-1;216
41602-1;208
853759-1;64
5005230-1;100
21143-1;125
21138-1;64
853775-1;64
75220-1;264
75950-1;272
30530-1;93
41153-1;184
40388-1;29
70652-1;212
10260-1;247
10402-1;130
41340-1;135
41374-1;117
41388-1;60
75253-1;218
70675-1;162
41362-1;111
70662-1;44
6278983-1;NaN
41358-1;90
70666-1;239
43180-1;99
41437-1;27
41402-1;41
71366-1;139
70687-1;105
41398-1;72
40425-1;259
30536-1;77
71361-5;107
40436-1;245
41410-1;33